artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
4525597,melodic rap,pop rap,rap,trap,,,,,,,7d3WFRME3vBY2cgoP38RDo,Lil Skies,81
3050768,melodic rap,rap,trap,,,,,,,,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,84
2025908,brooklyn drill,melodic rap,nyc rap,,,,,,,,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,88
10159030,melodic rap,philly rap,rap,trap,,,,,,,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,93
9755605,hip hop,new orleans rap,pop rap,rap,trap,,,,,,55Aa2cqylxrFIXC767Z865,Lil Wayne,91
2098803,emo rap,underground hip hop,,,,,,,,,3EXdLajEO02ziZ90P90bSW,Lil Xan,70
6673888,atl hip hop,hip hop,melodic rap,rap,southern hip hop,trap,underground hip hop,,,,6icQOAFXDZKsumw3YXyusw,Lil Yachty,84
54438,hip hop,,,,,,,,,,6YiHht3u7FFszle72kpbdQ,Lil Duval,56
3337884,dance pop,escape room,minnesota hip hop,pop,pop dance,pop rap,trap queen,,,,56oDRnqbIiwx4mymNEv7dS,Lizzo,80
5025435,conscious hip hop,dmv rap,hip hop,pop rap,rap,,,,,,4xRYI6VqpkE3UwrDrAZL8L,Logic,85
55275,atl hip hop,,,,,,,,,,5Nf5yishRW9Ye174sJISkg,London On Da Track,67
123618,adult standards,jump blues,lounge,soul,swing,vocal jazz,,,,,52lBOxCxbJg0ttXEW9CQpW,Louis Prima,64
537690,pop r&b,st louis rap,,,,,,,,,24CgJHK6T7C5OmUbiLLMjJ,Luh Kel,72
92788,north carolina hip hop,underground hip hop,,,,,,,,,75WcpJKWXBV3o3cfluWapK,Lute,65
963182,dance pop,escape room,indietronica,new rave,,,,,,,0QJIPDAEDILuo8AIq3pMuU,M.I.A.,78
5056221,hip hop,pittsburgh rap,pop rap,rap,,,,,,,4LLpKhyESsyAXpc4laK94U,Mac Miller,87
2727883,ohio hip hop,pop rap,,,,,,,,,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,90
3777,,,,,,,,,,,18AOdS1Qw4XXnQSiPJQr1B,Mack Maine,50
948978,atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,underground hip hop,vapor trap,,5SyGEPymt1G2uto47tVWvZ,MadeinTYO,73
21841856,reggaeton,reggaeton colombiano,,,,,,,,,1r4hJ1h58CWwUQe3MxPuau,Maluma,95
27890261,brostep,edm,pop,pop dance,progressive electro house,,,,,,64KEffDW9EtZ1y2vBYgq8T,Marshmello,91
2469741,dance pop,hip pop,neo soul,pop,r&b,urban contemporary,,,,,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,75
218750,melodic rap,underground hip hop,vapor trap,,,,,,,,2J6pigOrBmKQgqJUY5UM7r,Matt Ox,59
4560562,hip hop,philly rap,pop rap,rap,southern hip hop,trap,,,,,20sxb77xiYeusSH8cVdatc,Meek Mill,83
2485606,houston rap,pop,pop rap,trap queen,,,,,,,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,90
2149648,hip hop,pop rap,rap,southern hip hop,trap,,,,,,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,89
10043,north carolina hip hop,,,,,,,,,,30C5wgn4celhRP3Tytv7R6,Mez,61
16405677,pop,r&b,soul,,,,,,,,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,86
10956534,atl hip hop,hip hop,pop rap,rap,trap,,,,,,6oMuImdp5ZcFhWP0ESe6mG,Migos,84
3084426,dance pop,pop,pop rap,r&b,urban contemporary,,,,,,360IAlyVv4PCEVjgyMZrxK,Miguel,82
1136200,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,,0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,76
